hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 19.12, 19.12, -1115.23, 20.00, 4.63, -1.11, -12.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.84, 18.84, -946.83, 20.00, 4.63, 5.00, -5.62, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.65, 18.65, -902.72, 20.00, 4.63, 6.67, -3.64, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.49, 18.49, -909.46, 20.00, 4.63, 6.67, -3.64, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.33, 18.33, -935.24, 20.00, 4.63, 6.11, -4.30, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.19, 18.19, -943.24, 20.00, 4.63, 6.11, -4.30, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.05, 18.05, -968.95, 20.00, 4.63, 5.56, -4.71, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -919.64, 20.00, 4.63, 5.56, -4.71, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -914.98, 20.00, 4.63, 5.56, -4.71, 0.00, 5.83, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -810.60, 20.00, 4.63, 6.67, -3.64, 0.00, 52.47, 58.36, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -646.21, 20.00, 4.63, 7.78, -2.56, 42.42, 96.61, 44.95, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -699.36, 20.00, 4.63, 7.78, -2.32, 13.32, 73.49, 32.37, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -623.41, 20.00, 4.63, 8.33, -1.90, 2.92, 115.38, 22.18, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -575.63, 20.00, 4.63, 8.89, -1.48, 2.99, 127.00, 18.87, 2.71, 63.74, 0, 0
2.00, 5.70, 20.00, 20.00, -474.00, 20.00, 4.63, 9.44, -0.81, 88.41, 144.41, 25.30, 17.81, 65.77, 0, 0
2.00, 5.70, 20.00, 20.00, -499.11, 20.00, 4.63, 9.44, -0.81, 45.56, 116.98, 36.65, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -629.56, 20.00, 4.63, 8.89, -1.23, 0.00, 52.47, 49.62, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -717.02, 20.00, 4.63, 8.33, -1.90, 0.00, 11.66, 63.18, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -685.81, 20.00, 4.63, 8.33, -1.90, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -557.26, 20.00, 4.63, 7.78, -2.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -548.50, 20.00, 4.63, 7.78, -2.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -560.45, 20.00, 4.63, 7.22, -2.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -557.23, 20.00, 4.63, 7.22, -3.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.64, 19.64, -698.09, 20.00, 4.63, 6.67, -3.64, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.27, 19.27, -836.98, 20.00, 4.63, 6.67, -3.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.96, 18.96, -877.16, 20.00, 4.63, 6.11, -4.30, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.70, 18.70, -893.76, 20.00, 4.63, 6.11, -4.30, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.46, 18.46, -925.48, 20.00, 4.63, 5.56, -4.96, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.27, 18.27, -937.41, 20.00, 4.63, 5.56, -4.96, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.08, 18.08, -965.93, 20.00, 4.63, 5.00, -5.37, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.92, 17.92, -976.50, 20.00, 4.63, 5.00, -5.62, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
