hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 17.85, 17.85, -805.40, 20.00, 4.63, -1.11, -1.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.20, 18.20, -677.39, 20.00, 4.63, 5.00, 5.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.29, 18.29, -644.14, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.26, 18.26, -645.63, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.20, 18.20, -658.93, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.17, 18.17, -660.22, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.10, 18.10, -673.38, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.16, 18.16, -643.82, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.14, 18.14, -643.30, 20.00, 4.63, 5.56, 5.56, 0.00, 1.26, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.20, 18.20, -618.99, 20.00, 4.63, 6.67, 6.67, 0.00, 11.36, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 18.25, 18.25, -594.53, 20.00, 4.63, 7.78, 7.78, 0.00, 23.97, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 18.24, 18.24, -594.01, 20.00, 4.63, 7.78, 7.78, 0.00, 17.03, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 18.26, 18.26, -581.46, 20.00, 4.63, 8.33, 8.33, 0.00, 25.24, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 18.28, 18.28, -569.05, 20.00, 4.63, 8.89, 8.89, 0.00, 27.76, 0.00, 2.71, 63.74, 0, 0
2.00, 5.70, 18.31, 18.31, -556.31, 20.00, 4.63, 9.44, 9.44, 0.00, 39.12, 0.00, 17.81, 65.77, 0, 0
2.00, 5.70, 18.29, 18.29, -555.68, 20.00, 4.63, 9.44, 9.44, 0.00, 29.02, 0.00, 31.77, 70.55, 0, 0
2.00, 5.70, 18.24, 18.24, -566.92, 20.00, 4.63, 8.89, 8.89, 0.00, 11.36, 0.00, 44.15, 77.56, 0, 0
2.00, 5.70, 18.19, 18.19, -577.98, 20.00, 4.63, 8.33, 8.33, 0.00, 2.52, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 18.17, 18.17, -577.36, 20.00, 4.63, 8.33, 8.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.11, 18.11, -588.23, 20.00, 4.63, 7.78, 7.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.09, 18.09, -587.52, 20.00, 4.63, 7.78, 7.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.03, 18.03, -598.42, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.01, 18.01, -597.73, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.93, 17.93, -616.06, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.88, 17.88, -621.69, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.80, 17.80, -637.66, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.76, 17.76, -640.70, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.69, 17.69, -655.05, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.65, 17.65, -657.02, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.58, 17.58, -670.69, 20.00, 4.63, 5.00, 5.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.54, 17.54, -672.21, 20.00, 4.63, 5.00, 5.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.58, 17.58, -650.78, 20.00, 4.63, 4.44, 4.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.55, 17.55, -650.20, 20.00, 4.63, 4.44, 4.44, 0.00, 0.63, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.57, 17.57, -637.59, 20.00, 4.63, 5.00, 5.00, 0.00, 6.94, 0.00, -51.47, 83.01, 0, 0
2.00, 5.70, 17.58, 17.58, -624.93, 20.00, 4.63, 5.56, 5.56, 0.00, 14.51, 0.00, -40.11, 74.86, 0, 0
2.00, 5.70, 17.64, 17.64, -600.10, 20.00, 4.63, 6.67, 6.67, 0.00, 34.70, 0.00, -27.16, 68.55, 0, 0
2.00, 5.70, 17.66, 17.66, -587.68, 20.00, 4.63, 7.22, 7.22, 0.00, 35.96, 0.00, -12.71, 64.66, 0, 0
2.00, 5.70, 17.68, 17.68, -575.66, 20.00, 4.63, 7.78, 7.78, 0.00, 24.61, 0.00, 2.60, 63.65, 0, 0
