hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 19.63, 19.63, -509.10, 20.00, 4.63, 2.22, -10.03, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.54, 19.54, -427.15, 20.00, 4.63, 9.44, -1.04, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.51, 19.51, -404.17, 20.00, 4.63, 11.67, 1.62, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.46, 19.46, -415.39, 20.00, 4.63, 11.11, 0.96, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.40, 19.40, -426.89, 20.00, 4.63, 10.56, 0.52, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.34, 19.34, -438.72, 20.00, 4.63, 10.00, -0.14, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.28, 19.28, -443.38, 20.00, 4.63, 10.00, -0.14, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -422.29, 20.00, 4.63, 9.44, -0.81, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -423.47, 20.00, 4.63, 9.44, -0.81, 0.00, 6.05, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -409.40, 20.00, 4.63, 10.56, 0.29, 0.00, 66.50, 51.84, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -374.77, 20.00, 4.63, 11.67, 1.62, 321.61, 81.19, 43.26, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -340.53, 20.00, 4.63, 13.33, 3.17, 271.36, 136.85, 38.56, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -337.79, 20.00, 4.63, 13.89, 3.85, 66.06, 143.87, 39.15, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -353.69, 20.00, 4.63, 13.33, 3.17, 0.00, 102.77, 44.82, 2.71, 63.74, 0, 0
2.00, 5.70, 20.00, 20.00, -377.80, 20.00, 4.63, 12.22, 2.06, 0.00, 33.25, 54.00, 17.81, 65.77, 0, 0
2.00, 5.70, 20.00, 20.00, -372.81, 20.00, 4.63, 12.22, 2.06, 1.32, 71.55, 65.22, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -373.87, 20.00, 4.63, 12.22, 2.06, 5.50, 72.79, 77.57, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -384.25, 20.00, 4.63, 11.67, 1.39, 0.00, 27.20, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -363.32, 20.00, 4.63, 11.11, 0.96, 0.00, 3.02, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -291.40, 20.00, 4.63, 11.11, 0.96, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -291.57, 20.00, 4.63, 10.56, 0.29, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -287.23, 20.00, 4.63, 10.56, 0.29, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -291.45, 20.00, 4.63, 10.00, -0.37, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.86, 19.86, -345.29, 20.00, 4.63, 10.00, -0.37, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.67, 19.67, -409.59, 20.00, 4.63, 10.00, -0.37, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.50, 19.50, -428.04, 20.00, 4.63, 9.44, -1.04, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.36, 19.36, -444.28, 20.00, 4.63, 8.89, -1.47, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.23, 19.23, -459.53, 20.00, 4.63, 8.33, -2.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
