hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 19.78, 19.78, -1699.50, 20.00, 4.63, 2.22, 0.70, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.71, 19.71, -1452.35, 20.00, 4.63, 9.44, 8.14, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.68, 19.68, -1385.03, 20.00, 4.63, 11.67, 10.42, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.64, 19.64, -1428.87, 20.00, 4.63, 11.11, 9.85, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.58, 19.58, -1474.82, 20.00, 4.63, 10.56, 9.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.52, 19.52, -1522.56, 20.00, 4.63, 10.00, 8.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.46, 19.46, -1547.06, 20.00, 4.63, 10.00, 8.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1418.55, 20.00, 4.63, 9.44, 8.17, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1419.82, 20.00, 4.63, 9.44, 8.17, 0.00, 1.86, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1298.96, 20.00, 4.63, 10.56, 9.28, 0.00, 20.43, 11.41, -51.34, 83.01, 0, 0
2.00, 5.70, 20.35, 20.35, -288.44, 20.00, 4.63, 11.67, 10.42, 425.98, 44.90, 15.30, -39.97, 74.87, 0, 0
2.00, 5.70, 20.60, 20.60, -215.73, 20.00, 4.63, 13.33, 12.07, 310.16, 63.98, 26.10, -27.02, 68.58, 0, 0
2.00, 5.70, 20.56, 20.56, -661.82, 20.00, 4.63, 13.89, 12.64, 65.57, 50.49, 38.25, -12.58, 64.72, 0, 0
2.00, 5.70, 20.41, 20.41, -938.68, 20.00, 4.63, 13.33, 12.07, 0.00, 31.57, 50.66, 2.71, 63.74, 0, 0
2.00, 5.70, 20.22, 20.22, -1125.81, 20.00, 4.63, 12.22, 10.96, 0.00, 10.21, 62.97, 17.81, 65.77, 0, 0
2.00, 5.70, 20.12, 20.12, -1077.15, 20.00, 4.63, 12.22, 10.96, 0.42, 22.16, 75.00, 31.77, 70.55, 0, 0
2.00, 5.70, 20.07, 20.07, -1050.56, 20.00, 4.63, 12.22, 10.96, 0.86, 23.42, 86.53, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -1166.99, 20.00, 4.63, 11.67, 10.39, 0.00, 8.36, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -1157.40, 20.00, 4.63, 11.11, 9.85, 0.00, 0.93, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.02, 20.02, -978.38, 20.00, 4.63, 11.11, 9.85, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.02, 20.02, -994.51, 20.00, 4.63, 10.56, 9.28, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.02, 20.02, -993.36, 20.00, 4.63, 10.56, 9.28, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1016.56, 20.00, 4.63, 10.00, 8.71, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.91, 19.91, -1190.38, 20.00, 4.63, 10.00, 8.71, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.75, 19.75, -1393.50, 20.00, 4.63, 10.00, 8.71, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.61, 19.61, -1469.85, 20.00, 4.63, 9.44, 8.14, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
