hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 19.27, 19.27, -585.84, 20.00, 4.63, -1.11, -12.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.01, 19.01, -549.69, 20.00, 4.63, 5.00, -5.62, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.82, 18.82, -544.06, 20.00, 4.63, 6.67, -3.64, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.66, 18.66, -551.08, 20.00, 4.63, 6.67, -3.64, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.51, 18.51, -563.34, 20.00, 4.63, 6.11, -4.30, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.38, 18.38, -569.92, 20.00, 4.63, 6.11, -4.30, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.25, 18.25, -581.88, 20.00, 4.63, 5.56, -4.71, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -545.37, 20.00, 4.63, 5.56, -4.71, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -544.85, 20.00, 4.63, 5.56, -4.71, 0.00, 5.83, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -509.69, 20.00, 4.63, 6.67, -3.64, 0.00, 52.47, 58.36, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -457.95, 20.00, 4.63, 7.78, -2.56, 42.42, 96.61, 44.95, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -466.46, 20.00, 4.63, 7.78, -2.32, 13.32, 73.49, 32.37, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -436.15, 20.00, 4.63, 8.33, -1.90, 2.92, 115.38, 22.18, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -415.59, 20.00, 4.63, 8.89, -1.48, 2.99, 127.00, 18.87, 2.71, 63.74, 0, 0
2.00, 5.70, 20.00, 20.00, -369.15, 20.00, 4.63, 9.44, -0.81, 88.41, 144.41, 25.30, 17.81, 65.77, 0, 0
2.00, 5.70, 20.00, 20.00, -371.94, 20.00, 4.63, 9.44, -0.81, 45.56, 116.98, 36.65, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -417.93, 20.00, 4.63, 8.89, -1.23, 0.00, 52.47, 49.62, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -449.94, 20.00, 4.63, 8.33, -1.90, 0.00, 11.66, 63.18, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -431.60, 20.00, 4.63, 8.33, -1.90, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -360.05, 20.00, 4.63, 7.78, -2.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -353.16, 20.00, 4.63, 7.78, -2.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -354.00, 20.00, 4.63, 7.22, -2.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -351.24, 20.00, 4.63, 7.22, -3.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.66, 19.66, -423.17, 20.00, 4.63, 6.67, -3.64, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.32, 19.32, -500.28, 20.00, 4.63, 6.67, -3.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.04, 19.04, -523.08, 20.00, 4.63, 6.11, -4.30, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.81, 18.81, -536.35, 20.00, 4.63, 6.11, -4.30, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
