hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 17.83, 17.83, -839.40, 20.00, 4.63, -1.11, -7.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.17, 18.17, -715.14, 20.00, 4.63, 5.00, -0.83, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.25, 18.25, -683.44, 20.00, 4.63, 6.67, 1.01, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.23, 18.23, -685.48, 20.00, 4.63, 6.67, 1.01, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.16, 18.16, -698.83, 20.00, 4.63, 6.11, 0.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.13, 18.13, -700.21, 20.00, 4.63, 6.11, 0.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.06, 18.06, -713.13, 20.00, 4.63, 5.56, -0.08, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.15, 18.15, -676.10, 20.00, 4.63, 5.56, -0.08, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.13, 18.13, -675.03, 20.00, 4.63, 5.56, -0.08, 0.00, 3.77, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.18, 18.18, -650.82, 20.00, 4.63, 6.67, 1.01, 0.00, 33.94, 39.19, -51.34, 83.01, 0, 0
2.00, 5.70, 18.24, 18.24, -626.71, 20.00, 4.63, 7.78, 2.10, 37.17, 63.87, 51.67, -39.97, 74.87, 0, 0
2.00, 5.70, 18.23, 18.23, -625.50, 20.00, 4.63, 7.78, 2.23, 6.67, 48.05, 64.98, -27.02, 68.58, 0, 0
2.00, 5.70, 18.25, 18.25, -612.85, 20.00, 4.63, 8.33, 2.71, 0.62, 74.75, 78.64, -12.58, 64.72, 0, 0
2.00, 5.70, 18.27, 18.27, -600.22, 20.00, 4.63, 8.89, 3.19, 0.00, 82.27, 0.00, 2.71, 63.74, 0, 0
2.00, 5.70, 18.30, 18.30, -587.58, 20.00, 4.63, 9.44, 3.81, 0.00, 96.95, 0.00, 17.81, 65.77, 0, 0
2.00, 5.70, 18.29, 18.29, -586.27, 20.00, 4.63, 9.44, 3.81, 0.00, 77.34, 0.00, 31.77, 70.55, 0, 0
