hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 17.82, 17.82, -840.82, 20.00, 4.63, -1.11, -7.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.16, 18.16, -717.52, 20.00, 4.63, 5.00, -0.83, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.24, 18.24, -686.61, 20.00, 4.63, 6.67, 1.01, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.21, 18.21, -689.34, 20.00, 4.63, 6.67, 1.01, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.14, 18.14, -703.34, 20.00, 4.63, 6.11, 0.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.11, 18.11, -705.29, 20.00, 4.63, 6.11, 0.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.03, 18.03, -718.74, 20.00, 4.63, 5.56, -0.08, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.14, 18.14, -676.13, 20.00, 4.63, 5.56, -0.08, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.12, 18.12, -675.07, 20.00, 4.63, 5.56, -0.08, 0.00, 3.77, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.18, 18.18, -650.86, 20.00, 4.63, 6.67, 1.01, 0.00, 33.94, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 18.23, 18.23, -626.74, 20.00, 4.63, 7.78, 2.10, 0.00, 63.87, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 18.22, 18.22, -625.54, 20.00, 4.63, 7.78, 2.23, 0.00, 48.05, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 18.24, 18.24, -612.88, 20.00, 4.63, 8.33, 2.71, 0.00, 74.75, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 18.27, 18.27, -600.25, 20.00, 4.63, 8.89, 3.19, 0.13, 82.27, 87.57, 2.71, 63.74, 0, 0
2.00, 5.70, 18.29, 18.29, -587.61, 20.00, 4.63, 9.44, 3.81, 27.28, 96.95, 73.80, 17.81, 65.77, 0, 0
2.00, 5.70, 18.28, 18.28, -586.30, 20.00, 4.63, 9.44, 3.81, 28.19, 77.34, 60.23, 31.77, 70.55, 0, 0
2.00, 5.70, 18.23, 18.23, -596.31, 20.00, 4.63, 8.89, 3.33, 0.00, 33.94, 47.14, 44.15, 77.56, 0, 0
2.00, 5.70, 18.18, 18.18, -606.33, 20.00, 4.63, 8.33, 2.71, 0.00, 7.54, 35.17, 55.01, 86.22, 0, 0
2.00, 5.70, 18.16, 18.16, -605.00, 20.00, 4.63, 8.33, 2.71, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
